Protocol,Port,Name
tcp,21,FTP
tcp,22,SSH
tcp,23,Telnet
tcp,25,SMTP
tcp,53,DNS
udp,53,DNS
udp,67,DHCP
udp,68,DHCP
tcp,80,HTTP
tcp,102,S7comm
udp,123,NTP
tcp,135,RPC
udp,137,NetBIOS-NS
udp,138,NetBIOS-DGM
tcp,139,NetBIOS-SSN
tcp,143,IMAP
udp,161,SNMP
udp,162,SNMP-Trap
tcp,389,LDAP
tcp,443,HTTPS
tcp,445,SMB
tcp,502,Modbus
tcp,530,OPC-DA
tcp,636,LDAPS
tcp,993,IMAPS
tcp,995,POP3S
tcp,1883,MQTT
udp,2222,EtherNet-IP-IO
tcp,2404,IEC-104
tcp,3389,RDP
tcp,4840,OPC-UA
udp,5094,HART-IP
tcp,8080,HTTP-Alt
tcp,8883,MQTTS
tcp,20000,DNP3
udp,20000,DNP3
tcp,44818,EtherNet-IP
udp,44818,EtherNet-IP
udp,47808,BACnet
